 serial number,character,ferquency(pre million)
527,丽,344.22230 
528,痛,344.14487 
529,梦,342.88639 
530,呼,341.91764 
531,摇,341.11377 
532,期,341.06057 
533,英,340.47479 
534,低,340.43896 
535,帝,338.86968 
536,兄,338.61472 
537,背,338.44088 
538,持,337.83245 
539,爷,337.68179 
540,皇,337.30040 
541,七,336.20259 
542,六,334.55008 
543,穿,334.36992 
544,杨,333.70512 
545,政,333.54867 
546,运,332.25595 
547,居,330.29896 
548,叶,329.74847 
549,热,329.59623 
550,校,328.44206 
551,谢,328.30035 
552,曾,327.64240 
553,古,327.63661 
554,细,325.83186 
555,产,325.37514 
556,睡,324.62500 
557,希,323.74686 
558,速,323.72790 
559,室,323.59462 
560,旁,321.56019 
561,另,320.71155 
562,怀,319.77651 
563,露,319.74491 
564,异,319.17229 
565,写,318.77984 
566,鬼,318.39319 
567,娘,318.09977 
568,取,317.21162 
569,式,316.34296 
570,除,316.02531 
571,级,315.64918 
572,考,315.57491 
573,建,315.33944 
574,愿,314.83584 
575,招,312.75979 
576,饭,311.87849 
577,布,311.62827 
578,续,311.45654 
579,程,311.12677 
580,首,310.21439 
581,观,310.15855 
582,朋,310.12431 
583,务,309.54643 
584,掉,308.72465 
585,赶,308.55187 
586,忽,308.36117 
587,注,307.20910 
588,术,305.46651 
589,甚,303.47159 
590,差,302.16992 
591,呵,300.73549 
592,展,300.46473 
593,争,299.97429 
594,品,298.57938 
595,兰,297.79289 
596,宝,297.48367 
597,香,296.71563 
598,斗,296.13248 
599,故,295.23221 
600,雷,295.19692 
601,念,294.79709 
602,段,294.49735 
603,顿,293.82149 
604,角,293.75091 
605,疑,293.22676 
606,护,290.68662 
607,闪,290.26467 
608,木,288.25922 
609,需,286.25745 
610,调,285.93242 
611,类,285.92347 
612,妹,285.73857 
613,爸,285.24392 
614,线,284.16876 
615,左,283.56033 
616,游,283.17367 
617,派,282.92872 
618,谈,282.79123 
619,激,281.91783 
620,冰,281.59702 
621,敌,281.41686 
622,跳,280.52502 
623,支,280.45601 
624,约,277.20472 
625,巴,275.81929 
626,您,275.79137 
627,顾,275.64650 
628,肯,275.41946 
629,醒,275.28618 
630,铁,273.94237 
631,抱,273.92182 
632,淡,273.32814 
633,造,273.04842 
634,伙,273.01628 
635,资,272.59433 
636,群,271.85947 
637,集,271.69354 
638,联,271.24367 
639,商,271.05508 
640,号,270.62681 
641,节,269.31670 
642,讲,269.10178 
643,掌,268.79519 
644,赵,267.29123 
645,密,266.60905 
646,九,266.55848 
647,病,266.52793 
648,卫,265.57182 
649,米,265.47858 
650,威,265.45435 
651,继,265.12985 
652,渐,265.03556 
653,统,265.00289 
654,追,264.65575 
655,亚,264.53722 
656,简,264.42765 
657,练,264.09683 
658,基,262.98164 
659,选,262.43642 
660,推,261.96548 
661,改,261.05520 
662,退,260.42359 
663,味,260.09330 
664,份,260.06380 
665,举,259.96792 
666,示,259.67714 
667,忍,259.65080 
668,历,259.19988 
669,器,257.93192 
670,恐,257.90031 
671,引,257.81655 
672,试,257.63586 
673,皮,256.93419 
674,习,256.62655 
675,靠,256.27572 
676,导,256.11716 
677,存,255.73471 
678,莫,255.62988 
679,志,255.52295 
680,区,255.52084 
681,汉,255.15367 
682,右,254.64902 
683,严,253.37052 
684,态,252.14944 
685,买,251.55839 
686,幸,251.28447 
687,社,251.11853 
688,佛,250.60755 
689,议,250.19034 
690,树,250.01651 
691,止,249.00456 
692,块,248.89236 
693,守,247.89937 
694,毛,247.35626 
695,挥,246.67935 
696,胡,246.60244 
697,散,246.53817 
698,板,245.87812 
699,仅,245.83597 
700,隐,245.50568 
701,怒,245.48988 
702,床,245.37504 
703,苏,245.09637 
704,料,244.17240 
705,股,243.13095 
706,局,242.86388 
707,班,242.19908 
708,图,240.90056 
709,岁,240.54130 
710,礼,240.49916 
711,独,240.48915 
712,初,240.02558 
713,福,239.96447 
714,顺,239.64788 
715,狂,239.62523 
716,默,239.39977 
717,巨,239.01574 
718,既,238.76658 
719,松,238.57957 
720,证,238.57114 
721,烈,238.16973 
722,否,237.52127 
723,恶,237.47965 
724,治,237.47280 
725,缓,237.27157 
726,排,236.83224 
727,费,236.78377 
728,拍,236.77798 
729,耳,236.44505 
730,医,236.32969 
731,寒,236.15269 
732,哭,235.86770 
733,温,235.74549 
734,府,233.21062 
735,担,233.18586 
736,称,232.89350 
737,余,232.72756 
738,钟,231.64608 
739,泪,231.51122 
740,烟,229.25607 
741,仍,228.62868 
742,具,228.61024 
743,忘,228.57337 
744,恩,228.44009 
745,毕,228.36265 
746,警,228.30523 
747,蓝,227.49294 
748,宫,227.35334 
749,吸,227.33174 
750,陆,227.23850 
751,究,226.43358 
752,抓,225.85992 
753,压,225.28941 
754,沙,225.28204 
755,救,225.10135 
756,呆,224.96070 
757,河,224.38388 
758,迷,223.80495 
759,枪,223.41882 
760,组,223.29397 
761,权,222.54436 
762,叹,222.29993 
763,孙,221.96648 
764,卷,221.17631 
765,查,219.95945 
766,毫,218.57875 
767,春,218.37384 
768,察,218.07357 
769,圣,217.80280 
770,草,216.87883 
771,较,216.70289 
772,胜,216.57383 
773,遇,215.66987 
774,充,215.57083 
775,史,215.50551 
776,堂,215.02878 
777,防,213.99207 
778,据,213.49321 
779,猛,212.38908 
780,骑,212.25633 
781,土,211.91287 
782,卡,211.90075 
783,助,211.71322 
784,京,210.53165 
785,银,210.48582 
786,贵,210.35834 
787,永,210.35044 
788,质,210.13551 
789,屋,210.07967 
790,须,209.46018 
791,副,209.07773 
792,换,208.84700 
793,刺,207.84401 
794,属,207.83084 
795,闻,207.83032 
796,境,207.57430 
797,禁,207.52162 
798,阴,207.24559 
799,共,207.06859 
800,负,206.49071 
801,弄,206.22364 
802,翻,206.21047 
803,虎,206.17254 
804,层,205.87807 
805,喊,205.77008 
806,逃,204.55848 
807,晓,204.53162 
808,座,204.51529 
809,雅,203.98324 
810,参,203.89000 
811,射,203.85523 
812,婚,203.84048 
813,险,203.41221 
814,君,203.03029 
815,划,203.00342 
816,坚,202.88964 
817,价,202.73845 
818,柔,202.69578 
819,超,202.24381 
820,扬,201.87243 
821,科,201.78287 
822,按,201.59639 
823,狠,201.41992 
824,野,200.87049 
825,秦,200.80359 
826,秘,200.65293 
827,熟,200.08875 
828,置,200.02079 
829,仙,199.87593 
830,模,199.64204 
831,伸,199.32333 
832,波,199.00832 
833,肉,198.85239 
834,假,198.75125 
835,齐,198.39356 
836,舞,198.30454 
837,脱,197.70032 
838,广,197.52122 
839,姑,197.51173 
840,麻,197.23675 
841,投,197.00444 
842,顶,196.13209 
843,致,195.29557 
844,责,195.27976 
845,景,194.79723 
846,营,194.71189 
847,维,194.62339 
848,设,194.61181 
849,坏,192.71539 
850,啦,192.59055 
851,秀,191.80512 
852,败,191.77720 
853,眉,191.22513 
854,州,191.14190 
855,药,190.55349 
856,承,190.48711 
857,案,190.31801 
858,狼,189.85076 
859,专,189.75805 
860,偷,189.63741 
861,画,189.52732 
862,吴,188.71344 
863,店,187.85057 
864,哦,187.70940 
865,弹,187.50659 
866,食,186.07269 
867,欲,185.96522 
868,抬,185.84459 
869,标,185.69920 
870,秋,185.66180 
871,厉,185.57857 
872,良,185.49218 
873,际,185.43107 
874,状,185.31044 
875,烦,184.86267 
876,午,184.80841 
877,摆,183.98137 
878,戏,183.06898 
879,桌,182.31621 
880,船,182.10076 
881,短,181.99224 
882,村,181.19101 
883,某,180.67424 
884,摸,180.34553 
885,付,180.21594 
886,演,179.82507 
887,规,179.75817 
888,萧,179.73235 
889,封,179.65176 
890,握,179.54745 
891,田,179.08336 
892,唐,178.97326 
893,藏,178.91637 
894,震,178.45070 
895,混,178.34955 
896,虚,177.61786 
897,透,177.15798 
898,纪,176.92040 
899,凌,176.76447 
900,休,176.18817 
901,嘛,176.17184 
902,梅,175.75042 
903,紫,175.21732 
904,歌,175.15674 
905,临,174.99133 
906,毒,174.66788 
907,宗,173.60115 
908,著,173.44154 
909,索,173.41678 
910,印,172.82362 
911,寻,172.80782 
912,湖,172.64662 
913,劲,172.59184 
914,职,172.09877 
915,技,171.98288 
916,恨,171.84223 
917,婆,171.68525 
918,杰,171.04047 
919,羽,169.80201 
920,咱,169.37057 
921,素,168.95547 
922,凡,168.75003 
923,值,168.73106 
924,飘,168.56407 
925,养,168.43975 
926,嘿,168.09524 
927,普,167.32508 
928,宁,166.77196 
929,吓,166.66029 
930,兽,166.09031 
931,夏,165.86432 
932,读,165.14895 
933,街,165.13789 
934,牛,165.08943 
935,仿,165.00567 
936,胸,164.96879 
937,浪,164.78284 
938,富,164.51313 
939,尚,164.21602 
940,宇,163.91681 
941,骨,163.67028 
942,智,163.51593 
943,纷,162.30170 
944,升,161.99143 
945,叔,161.46676 
946,善,160.84779 
947,弱,160.79511 
948,架,160.46693 
949,卖,160.07816 
950,袋,160.03918 
951,网,160.02970 
952,朱,159.46341 
953,骂,159.30853 
954,雄,159.09045 
955,赛,158.96455 
956,略,158.93821 
957,杯,158.92451 
958,施,158.87236 
959,墙,158.71959 
960,环,158.49308 
961,罪,158.46674 
962,牙,158.36560 
963,窗,157.05286 
964,柳,156.92643 
965,厅,156.66251 
966,搞,156.57243 
967,端,155.93766 
968,洞,155.61580 
969,适,155.41246 
970,拥,155.35452 
971,释,155.20333 
972,洋,154.60807 
973,肩,154.15030 
974,魂,153.78208 
975,闹,153.35696 
976,蒙,153.28743 
977,洗,152.92764 
978,灯,152.84546 
979,借,152.63422 
980,伯,152.31552 
981,免,152.28391 
982,菜,152.11692 
983,验,152.06266 
984,凤,151.90463 
985,鱼,151.78768 
986,徐,151.39945 
987,型,150.98645 
988,娜,150.90375 
989,暴,150.68302 
990,亡,150.65932 
991,讨,148.65070 
992,辈,148.51743 
993,懂,148.22348 
994,腿,148.00013 
995,灭,147.93955 
996,妙,147.72041 
997,效,147.43753 
998,危,147.43595 
999,优,147.28476 
1000,盘,147.25948 
1001,套,146.78274 
1002,丁,146.77536 
1003,趣,146.74639 
1004,妖,146.55096 
1005,束,146.43454 
1006,杂,146.26070 
1007,诗,146.17852 
1008,迎,145.82031 
1009,舍,145.78291 
1010,旧,144.98062 
1011,彩,144.75937 
1012,委,144.49862 
1013,挂,144.29739 
1014,笔,144.26420 
1015,狗,144.02293 
1016,鲜,143.83277 
1017,纸,143.81802 
1018,抗,143.70371 
1019,探,143.64102 
1020,韩,143.57412 
1021,尼,143.41292 
1022,控,143.14901 
1023,惜,143.10054 
1024,珠,143.09580 
1025,抽,142.61959 
1026,创,142.43838 
1027,归,142.36937 
1028,挺,142.13390 
1029,奋,142.09386 
1030,陪,141.77042 
1031,硬,141.20729 
1032,避,141.20150 
1033,园,140.97077 
1034,托,140.92230 
1035,训,140.78271 
1036,勇,140.46190 
1037,聊,139.89877 
1038,奶,139.78604 
1039,庄,139.55057 
1040,奔,139.49157 
1041,镇,139.34249 
1042,拳,139.33406 
1043,采,139.12493 
1044,研,138.96162 
1045,配,138.04977 
1046,介,137.88436 
1047,尊,137.46978 
1048,冒,136.16547 
1049,虑,135.77618 
1050,敬,134.77477 
1051,丹,134.70523 
1052,舒,134.58671 
1053,蛋,134.58091 
1054,哼,134.50137 
1055,宋,134.48399 
1056,济,134.35229 
1057,妇,134.05993 
1058,箭,133.97090 
1059,择,133.93508 
1060,犯,133.87134 
1061,欣,133.70435 
1062,甲,133.58108 
1063,欧,133.56159 
1064,课,133.44992 
1065,扑,133.17652 
1066,菲,133.07748 
1067,燕,132.47643 
1068,曲,131.77475 
1069,躲,131.40548 
1070,玄,131.29960 
1071,幻,131.07940 
1072,茶,131.06887 
1073,折,130.94191 
1074,伊,130.86553 
1075,傻,130.75280 
1076,姓,130.74858 
1077,源,130.62163 
1078,洛,130.58265 
1079,遍,130.57053 
1080,臣,130.29555 
1081,弃,130.26289 
1082,犹,130.01004 
1083,占,129.73664 
1084,漂,129.57018 
1085,挑,129.52803 
1086,获,129.45165 
1087,绿,129.31679 
1088,峰,129.13084 
1089,俊,129.02180 
1090,疯,128.93857 
1091,列,128.70520 
1092,森,128.38070 
1093,妻,128.34278 
1094,恋,128.30854 
1095,误,128.25691 
1096,拜,128.00406 
1097,伟,127.99352 
1098,移,127.94664 
1099,纳,127.80546 
1100,党,127.74857 
1101,罢,127.67166 
1102,腰,127.45568 
1103,巧,127.45199 
1104,孤,127.39246 
1105,闭,127.23180 
1106,圆,126.67868 
1107,碰,126.65813 
1108,镜,126.28833 
1109,软,126.18297 
1110,厚,125.93433 
1111,累,125.84320 
1112,昨,125.81475 
1113,幽,125.75101 
1114,悲,125.64724 
1115,丈,125.40703 
1116,牌,124.93134 
1117,降,124.70009 
1118,颜,124.53573 
1119,劳,124.49148 
1120,偏,124.42195 
1121,省,124.28709 
1122,糊,124.27392 
1123,馆,124.27181 
1124,烧,124.22440 
1125,谓,124.16382 
1126,财,124.14960 
1127,舰,124.13801 
1128,汗,123.94784 
1129,奈,123.92941 
1130,操,123.88042 
1131,迹,123.29885 
1132,尸,123.17031 
1133,悄,123.15293 
1134,残,122.68989 
1135,尖,122.59718 
1136,鲁,122.56346 
1137,锋,122.48971 
1138,圈,122.34064 
1139,油,121.79015 
1140,俩,121.70902 
1141,项,121.56258 
1142,撞,121.53571 
1143,瞬,121.49937 
1144,忆,121.09533 
1145,盖,120.99524 
1146,尤,120.72921 
1147,徒,120.40103 
1148,乡,120.14133 
1149,概,119.99541 
1150,户,119.67987 
1151,荡,119.46810 
1152,艺,119.11621 
1153,增,119.11147 
1154,祖,118.95449 
1155,困,118.59575 
1156,殿,118.54413 
1157,迅,118.52885 
1158,横,118.46247 
1159,范,118.40558 
1160,律,117.80558 
1161,番,117.63332 
1162,企,117.38468 
1163,惨,117.38257 
1164,限,117.37783 
1165,聚,117.14710 
1166,含,117.11971 
1167,凭,116.63876 
1168,剧,116.35535 
1169,碎,116.06299 
1170,躺,115.90548 
1171,缘,115.80592 
1172,凉,115.66263 
1173,腾,115.64999 
1174,织,115.34341 
1175,抢,115.33182 
1176,预,115.23700 
1177,沈,115.11162 
1178,替,115.08528 
1179,孔,115.03682 
1180,批,114.95938 
1181,康,114.78818 
1182,惑,114.73919 
1183,唯,114.65806 
1184,率,114.60697 
1185,惯,114.22400 
1186,登,113.75516 
1187,互,113.50652 
1188,盯,113.26315 
1189,稍,113.13198 
1190,宣,113.09458 
1191,唱,113.08088 
1192,诚,113.07877 
1193,剩,113.00661 
1194,咬,112.85068 
1195,育,112.83962 
1196,诸,112.78009 
1197,触,112.31600 
1198,晨,112.29545 
1199,策,112.27596 
1200,疼,112.27227 
1201,漫,112.27069 
1202,材,112.09527 
1203,补,111.93250 
1204,私,111.92987 
1205,吐,111.92670 
1206,纯,111.81713 
1207,艾,111.68755 
1208,贝,111.54110 
1209,谷,111.42574 
1210,庭,111.35673 
1211,挡,111.32828 
1212,晃,111.10651 
1213,吉,111.07543 
1214,吹,110.52178 
1215,仔,110.18201 
1216,仇,110.07033 
1217,凝,110.05821 
1218,鼓,109.93284 
1219,农,109.91598 
1220,席,109.77849 
1221,征,109.60571 
1222,帅,109.56515 
1223,附,109.40290 
1224,缺,109.31598 
1225,塞,108.97357 
1226,豪,108.82923 
1227,亦,108.16654 
1228,杜,108.01114 
1229,努,107.91632 
1230,判,107.85838 
1231,谋,107.82572 
1232,胆,107.80833 
1233,尘,107.70403 
1234,扎,107.65925 
1235,滚,107.42220 
1236,闷,107.20043 
1237,迟,107.16461 
1238,稳,107.16303 
1239,翼,107.11930 
1240,诺,107.01500 
1241,闲,106.91175 
1242,灰,106.81114 
1243,朵,106.60675 
1244,盛,106.43501 
1245,梁,106.24485 
1246,晶,106.05942 
1247,餐,105.91087 
1248,爆,105.33352 
1249,伦,105.15757 
1250,娇,105.07171 
1251,侧,104.87785 
1252,愣,104.65871 
1253,鼻,104.30050 
1254,轮,103.93491 
1255,昏,103.90489 
1256,抖,103.84009 
1257,陷,103.60936 
1258,敏,103.57301 
1259,词,103.54615 
1260,慌,103.36757 
1261,愤,102.88240 
1262,怜,102.74070 
1263,颤,102.69750 
1264,阶,102.38407 
1265,苍,102.35562 
1266,距,101.79776 
1267,郑,101.75088 
1268,川,101.73876 
1269,扫,101.64605 
1270,逼,101.59232 
1271,县,101.35948 
1272,忧,101.30417 
1273,童,101.16247 
1274,执,100.70522 
